country;latitude;longitude
Papua New Guinea;-6;147
Paraguay;-23;-58
Peru;-10;-76
Philippines;13;122
Pitcairn; -24.7; -127.4
Poland;52;20
Portugal; 39.5;-8
Puerto Rico; 18.25; -66.5
Qatar; 25.5; 51.25
R̩union; -21.1; 55.6
Romania;46;25
Russian Federation;60;100
Russia;60;100
Rwanda;-2;30
Saint Kitts and Nevis;173333; -62.75
Saint Lucia;138833;-611333
Saint Pierre and Miquelon;468333;-563333
Saint Vincent and the Grenadines; 13.25; -61.2
Saint Vincent & the Grenadines; 13.25; -61.2
St. Vincent and the Grenadines; 13.25; -61.2
Samoa;-135833;-1723333
San Marino;437667;124167
Sao Tome and Principe;1;7
Saudi Arabia;25;45
Senegal;14;-14
Serbia;44;21
Seychelles;-45833;556667
Sierra Leone; 8.5; -11.5
Singapore;13667; 103.8
Slovakia;486667; 19.5
Slovenia;46;15
Solomon Islands;-8;159
Somalia;10;49
South Africa;-29;24
South Georgia and the South Sandwich Islands; -54.5;-37
South Sudan;8;30
Spain;40;-4
Sri Lanka;7;81
Sudan;15;30
Suriname;4;-56
Svalbard and Jan Mayen;78;20
Swaziland; -26.5; 31.5
Sweden;62;15
Switzerland;47;8
Syria;35;38
Taiwan; 23.5;121
Tajikistan;39;71
Tanzania;-6;35
Thailand;15;100
Timor Leste; -8.55;1255167
Togo;8;11667
Tokelau;-9;-172
Tonga;-20;-175
Trinidad and Tobago;11;-61
Tunisia;34;9
Turkey;39;35
Turkmenistan;40;60
Turks and Caicos Islands; 21.75;-715833
Tuvalu;-8;178
Uganda;1;32
Ukraine;49;32
United Arab Emirates;24;54
United Kingdom;54;-2
United States;38;-97
United States Minor Outlying Islands;192833; 166.6
Uruguay;-33;-56
Uzbekistan;41;64
Vanuatu;-16;167
Venezuela;8;-66
Viet Nam;16;106
Vietnam;16;106
British Virgin Islands; 18.5; -64.5
Virgin Islands  U.S.;183333;-648333
Wallis and Futuna; -13.3; -176.2
Western Sahara; 24.5;-13
Yemen;15;48
Zambia;-15;30
Zimbabwe;-20;30
Eswatini;26;31
Curacao;12;-68
Reunion;-21;55
Laos;102;19
Kosovo;20;42
